subj_idx,bias_source,bias_direction,addition_length,quantiles,boundary,value,p,experiment,model_name
S002,mullerlyer,long,50,0.1,q_lower,0.49776041786350333,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.3,q_lower,0.614583549704233,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.5,q_lower,0.7570037702044751,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.7,q_lower,0.9754204571807094,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.9,q_lower,1.4989558540809682,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.1,q_lower,0.5260179058340615,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.3,q_lower,0.6509152475472404,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.5,q_lower,0.7986685395735844,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.7,q_lower,1.0213838548252059,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.9,q_lower,1.5275994269326822,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.1,q_lower,0.4772586359735588,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.3,q_lower,0.573024196284986,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.5,q_lower,0.6932062678742932,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.7,q_lower,0.8852635288062597,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.9,q_lower,1.3411320803085978,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.1,q_lower,0.4909729068180908,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.3,q_lower,0.5907577924145128,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.5,q_lower,0.7081126300068492,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.7,q_lower,0.892987800405149,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.9,q_lower,1.3339384446138198,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,50,0.1,q_lower,0.4860869938927565,0.49728000000000067,add_len,dczBDAL_sV
S002,mullerlyer,short,50,0.3,q_lower,0.5826455867366944,0.49728000000000067,add_len,dczBDAL_sV
S002,mullerlyer,short,50,0.5,q_lower,0.6961248497199835,0.49728000000000067,add_len,dczBDAL_sV
S002,mullerlyer,short,50,0.7,q_lower,0.8769105655403518,0.49728000000000067,add_len,dczBDAL_sV
S002,mullerlyer,short,50,0.9,q_lower,1.306616400603229,0.49728000000000067,add_len,dczBDAL_sV
S002,mullerlyer,short,60,0.1,q_lower,0.45254191422157586,0.5477999999999869,add_len,dczBDAL_sV
S002,mullerlyer,short,60,0.3,q_lower,0.5329198743307418,0.5477999999999869,add_len,dczBDAL_sV
S002,mullerlyer,short,60,0.5,q_lower,0.6332719499231871,0.5477999999999869,add_len,dczBDAL_sV
S002,mullerlyer,short,60,0.7,q_lower,0.7988930037408633,0.5477999999999869,add_len,dczBDAL_sV
S002,mullerlyer,short,60,0.9,q_lower,1.2161688145834764,0.5477999999999869,add_len,dczBDAL_sV
S003,mullerlyer,long,30,0.1,q_lower,0.4207715119514266,0.564319999999987,add_len,dczBDAL_sV
S003,mullerlyer,long,30,0.3,q_lower,0.5417702555104787,0.564319999999987,add_len,dczBDAL_sV
S003,mullerlyer,long,30,0.5,q_lower,0.6863175173151286,0.564319999999987,add_len,dczBDAL_sV
S003,mullerlyer,long,30,0.7,q_lower,0.9147722030283663,0.564319999999987,add_len,dczBDAL_sV
S003,mullerlyer,long,30,0.9,q_lower,1.4563688861300055,0.564319999999987,add_len,dczBDAL_sV
S003,mullerlyer,long,40,0.1,q_lower,0.40581336616878166,0.5281999999999942,add_len,dczBDAL_sV
S003,mullerlyer,long,40,0.3,q_lower,0.5242724922306228,0.5281999999999942,add_len,dczBDAL_sV
S003,mullerlyer,long,40,0.5,q_lower,0.6663330668699851,0.5281999999999942,add_len,dczBDAL_sV
S003,mullerlyer,long,40,0.7,q_lower,0.8989465067858646,0.5281999999999942,add_len,dczBDAL_sV
S003,mullerlyer,long,40,0.9,q_lower,1.4553743386611964,0.5281999999999942,add_len,dczBDAL_sV
S003,mullerlyer,long,50,0.1,q_lower,0.388455118876007,0.5122432432432449,add_len,dczBDAL_sV
S003,mullerlyer,long,50,0.3,q_lower,0.4996547421981961,0.5122432432432449,add_len,dczBDAL_sV
S003,mullerlyer,long,50,0.5,q_lower,0.6422558118730056,0.5122432432432449,add_len,dczBDAL_sV
S003,mullerlyer,long,50,0.7,q_lower,0.8793092499643416,0.5122432432432449,add_len,dczBDAL_sV
S003,mullerlyer,long,50,0.9,q_lower,1.447967928929195,0.5122432432432449,add_len,dczBDAL_sV
S003,mullerlyer,long,60,0.1,q_lower,0.38766276305995273,0.4288275862068901,add_len,dczBDAL_sV
S003,mullerlyer,long,60,0.3,q_lower,0.5036131969170526,0.4288275862068901,add_len,dczBDAL_sV
S003,mullerlyer,long,60,0.5,q_lower,0.6552776035003123,0.4288275862068901,add_len,dczBDAL_sV
S003,mullerlyer,long,60,0.7,q_lower,0.9031914615496908,0.4288275862068901,add_len,dczBDAL_sV
S003,mullerlyer,long,60,0.9,q_lower,1.4973419609278138,0.4288275862068901,add_len,dczBDAL_sV
S003,mullerlyer,short,30,0.1,q_lower,0.4169161715792289,0.45206756756756433,add_len,dczBDAL_sV
S003,mullerlyer,short,30,0.3,q_lower,0.5427595490508281,0.45206756756756433,add_len,dczBDAL_sV
S003,mullerlyer,short,30,0.5,q_lower,0.696623931873095,0.45206756756756433,add_len,dczBDAL_sV
S003,mullerlyer,short,30,0.7,q_lower,0.9356055351705492,0.45206756756756433,add_len,dczBDAL_sV
S003,mullerlyer,short,30,0.9,q_lower,1.5136584927826295,0.45206756756756433,add_len,dczBDAL_sV
S003,mullerlyer,short,40,0.1,q_lower,0.3982334776259655,0.5323066666666575,add_len,dczBDAL_sV
S003,mullerlyer,short,40,0.3,q_lower,0.5128033152540536,0.5323066666666575,add_len,dczBDAL_sV
S003,mullerlyer,short,40,0.5,q_lower,0.6557381762494697,0.5323066666666575,add_len,dczBDAL_sV
S003,mullerlyer,short,40,0.7,q_lower,0.8883730848631255,0.5323066666666575,add_len,dczBDAL_sV
S003,mullerlyer,short,40,0.9,q_lower,1.4679274345567948,0.5323066666666575,add_len,dczBDAL_sV
