subj_idx,bias_source,bias_direction,quantiles,boundary,value,p,experiment,model_name
S001,mullerlyer,long,0.1,q_lower,0.4194521328597658,0.41066666666666707,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,long,0.3,q_lower,0.5222594985883171,0.41066666666666707,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,long,0.5,q_lower,0.6556054203850069,0.41066666666666707,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,long,0.7,q_lower,0.8666461554940027,0.41066666666666707,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,long,0.9,q_lower,1.3723512918545888,0.41066666666666707,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,short,0.1,q_lower,0.4397437760121459,0.4637200000000062,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,short,0.3,q_lower,0.5478076827930731,0.4637200000000062,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,short,0.5,q_lower,0.6819026363147838,0.4637200000000062,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,short,0.7,q_lower,0.8900555395534334,0.4637200000000062,exp1,atvBS_dczBSBD_sV
S001,mullerlyer,short,0.9,q_lower,1.3811033394869947,0.4637200000000062,exp1,atvBS_dczBSBD_sV
S002,payoff,long,0.1,q_lower,0.41897051045844613,0.4048399999999979,exp1,atvBS_dczBSBD_sV
S002,payoff,long,0.3,q_lower,0.5419277707767638,0.4048399999999979,exp1,atvBS_dczBSBD_sV
S002,payoff,long,0.5,q_lower,0.6908139719545399,0.4048399999999979,exp1,atvBS_dczBSBD_sV
S002,payoff,long,0.7,q_lower,0.9381243491782877,0.4048399999999979,exp1,atvBS_dczBSBD_sV
S002,payoff,long,0.9,q_lower,1.5397878338395643,0.4048399999999979,exp1,atvBS_dczBSBD_sV
S002,payoff,short,0.1,q_lower,0.3809576966988354,0.5888266666666603,exp1,atvBS_dczBSBD_sV
S002,payoff,short,0.3,q_lower,0.4785614267418723,0.5888266666666603,exp1,atvBS_dczBSBD_sV
S002,payoff,short,0.5,q_lower,0.6006014480036772,0.5888266666666603,exp1,atvBS_dczBSBD_sV
S002,payoff,short,0.7,q_lower,0.8060924482505629,0.5888266666666603,exp1,atvBS_dczBSBD_sV
