subj_idx,bias_source,bias_direction,quantiles,boundary,value,p,experiment,model_name
S002,baserate,long,0.1,q_lower,1.252254515137114,0.37646896551722825,exp3,atvBS_dczBSBD_sV
S002,baserate,long,0.3,q_lower,1.6184285998680907,0.37646896551722825,exp3,atvBS_dczBSBD_sV
S002,baserate,long,0.5,q_lower,2.0799183402868975,0.37646896551722825,exp3,atvBS_dczBSBD_sV
S002,baserate,long,0.7,q_lower,2.8726150771410874,0.37646896551722825,exp3,atvBS_dczBSBD_sV
S002,baserate,long,0.9,q_lower,4.688690370547065,0.37646896551722825,exp3,atvBS_dczBSBD_sV
S002,baserate,short,0.1,q_lower,1.1797278596200524,0.7886714801444096,exp3,atvBS_dczBSBD_sV
S002,baserate,short,0.3,q_lower,1.4486795731045266,0.7886714801444096,exp3,atvBS_dczBSBD_sV
S002,baserate,short,0.5,q_lower,1.7690185982657611,0.7886714801444096,exp3,atvBS_dczBSBD_sV
S002,baserate,short,0.7,q_lower,2.2917603537901394,0.7886714801444096,exp3,atvBS_dczBSBD_sV
S002,baserate,short,0.9,q_lower,3.7149773162236173,0.7886714801444096,exp3,atvBS_dczBSBD_sV
S003,baserate,long,0.1,q_lower,0.4270545217249823,0.25918791946308845,exp3,atvBS_dczBSBD_sV
S003,baserate,long,0.3,q_lower,0.603056624501602,0.25918791946308845,exp3,atvBS_dczBSBD_sV
S003,baserate,long,0.5,q_lower,0.80194275763814,0.25918791946308845,exp3,atvBS_dczBSBD_sV
S003,baserate,long,0.7,q_lower,1.090037929024286,0.25918791946308845,exp3,atvBS_dczBSBD_sV
S003,baserate,long,0.9,q_lower,1.7108105928513373,0.25918791946308845,exp3,atvBS_dczBSBD_sV
S003,baserate,short,0.1,q_lower,0.30995797305785316,0.8106933333333065,exp3,atvBS_dczBSBD_sV
S003,baserate,short,0.3,q_lower,0.4097173568732249,0.8106933333333065,exp3,atvBS_dczBSBD_sV
S003,baserate,short,0.5,q_lower,0.5348507171064071,0.8106933333333065,exp3,atvBS_dczBSBD_sV
S003,baserate,short,0.7,q_lower,0.7362047419124702,0.8106933333333065,exp3,atvBS_dczBSBD_sV
S003,baserate,short,0.9,q_lower,1.228784763416836,0.8106933333333065,exp3,atvBS_dczBSBD_sV
S004,baserate,long,0.1,q_lower,0.8915612225023544,0.3133000000000022,exp3,atvBS_dczBSBD_sV
S004,baserate,long,0.3,q_lower,1.123079902325437,0.3133000000000022,exp3,atvBS_dczBSBD_sV
S004,baserate,long,0.5,q_lower,1.3991618847879084,0.3133000000000022,exp3,atvBS_dczBSBD_sV
S004,baserate,long,0.7,q_lower,1.838087071845709,0.3133000000000022,exp3,atvBS_dczBSBD_sV
S004,baserate,long,0.9,q_lower,2.9300053885888624,0.3133000000000022,exp3,atvBS_dczBSBD_sV
S004,baserate,short,0.1,q_lower,0.8473671290160396,0.7003108108108136,exp3,atvBS_dczBSBD_sV
S004,baserate,short,0.3,q_lower,1.045856730509538,0.7003108108108136,exp3,atvBS_dczBSBD_sV
S004,baserate,short,0.5,q_lower,1.2700871613570581,0.7003108108108136,exp3,atvBS_dczBSBD_sV
S004,baserate,short,0.7,q_lower,1.6208642789774814,0.7003108108108136,exp3,atvBS_dczBSBD_sV
S004,baserate,short,0.9,q_lower,2.487890598648114,0.7003108108108136,exp3,atvBS_dczBSBD_sV
S005,baserate,long,0.1,q_lower,0.49519604251487154,0.33245333333333804,exp3,atvBS_dczBSBD_sV
S005,baserate,long,0.3,q_lower,0.6226470015482537,0.33245333333333804,exp3,atvBS_dczBSBD_sV
S005,baserate,long,0.5,q_lower,0.7825215600653753,0.33245333333333804,exp3,atvBS_dczBSBD_sV
S005,baserate,long,0.7,q_lower,1.0344155973183602,0.33245333333333804,exp3,atvBS_dczBSBD_sV
S005,baserate,long,0.9,q_lower,1.6384871795087208,0.33245333333333804,exp3,atvBS_dczBSBD_sV
S005,baserate,short,0.1,q_lower,0.45073754876675914,0.7659066666666565,exp3,atvBS_dczBSBD_sV
S005,baserate,short,0.3,q_lower,0.5399644335896434,0.7659066666666565,exp3,atvBS_dczBSBD_sV
S005,baserate,short,0.5,q_lower,0.6541427267983208,0.7659066666666565,exp3,atvBS_dczBSBD_sV
S005,baserate,short,0.7,q_lower,0.8460708231619001,0.7659066666666565,exp3,atvBS_dczBSBD_sV
S005,baserate,short,0.9,q_lower,1.346503198119475,0.7659066666666565,exp3,atvBS_dczBSBD_sV
S006,baserate,long,0.1,q_lower,0.5331724042404612,0.20124666666666655,exp3,atvBS_dczBSBD_sV
S006,baserate,long,0.3,q_lower,0.6813654321658288,0.20124666666666655,exp3,atvBS_dczBSBD_sV
S006,baserate,long,0.5,q_lower,0.8652297319620788,0.20124666666666655,exp3,atvBS_dczBSBD_sV
S006,baserate,long,0.7,q_lower,1.1461514451405823,0.20124666666666655,exp3,atvBS_dczBSBD_sV
