subj_idx,bias_source,bias_direction,stim,response,rt
S001,mullerlyer,long,1,0,1.98849403391
S001,mullerlyer,long,1,1,0.886173703323
S001,mullerlyer,long,0,1,1.05924525113
S001,mullerlyer,long,0,0,1.28910981047
S001,mullerlyer,long,0,1,2.54595624968
S001,mullerlyer,long,1,1,1.96317384519
S001,mullerlyer,long,1,1,0.686080431286
S001,mullerlyer,long,0,0,1.4426265285
S001,mullerlyer,long,1,1,0.995572747661
S001,mullerlyer,long,0,0,1.16879099517
S001,mullerlyer,long,1,1,1.10796766569
S001,mullerlyer,long,1,1,0.730112379221
S001,mullerlyer,long,0,1,0.918419265354
S001,mullerlyer,long,1,1,0.956240925597
S001,mullerlyer,long,1,1,0.743781109544
S001,mullerlyer,long,0,0,0.805659107305
S001,mullerlyer,long,1,1,0.761761785027
S001,mullerlyer,long,1,1,0.852574640268
S001,mullerlyer,long,1,1,1.68065556055
S001,mullerlyer,long,1,1,0.621136228489
S001,mullerlyer,long,0,0,1.68064016614
S001,mullerlyer,long,1,1,0.628416277027
S001,mullerlyer,long,1,1,0.682332646119
S001,mullerlyer,long,0,0,0.680509464546
S001,mullerlyer,long,1,1,0.670645267424
S001,mullerlyer,long,1,0,1.67695546788
S001,mullerlyer,long,1,1,0.936326289131
S001,mullerlyer,long,0,0,1.29504450797
S001,mullerlyer,long,0,0,0.692636036813
S001,mullerlyer,long,1,1,0.714187310778
S001,mullerlyer,long,0,0,0.98952364853599994
S001,mullerlyer,long,0,1,1.05114446903
S001,mullerlyer,long,1,1,0.539650576989
S001,mullerlyer,long,0,0,1.30935316295
S001,mullerlyer,long,1,1,0.84650773192
S001,mullerlyer,long,0,0,0.775453154195
S001,mullerlyer,long,0,0,1.15792072782
S001,mullerlyer,long,1,0,1.13719622444
S001,mullerlyer,long,0,0,0.941742708028
S001,mullerlyer,long,0,0,0.626610904678
S001,mullerlyer,long,1,0,0.971827618786
S001,mullerlyer,long,1,1,1.29625976111
S001,mullerlyer,long,1,1,1.26666083088
S001,mullerlyer,long,0,0,0.725554123439
S001,mullerlyer,long,0,0,1.37868205706
S001,mullerlyer,long,0,0,0.835909130699
S001,mullerlyer,long,1,1,0.594473405396
S001,mullerlyer,long,0,1,0.845172945676
S001,mullerlyer,long,0,1,0.719623350005
S001,mullerlyer,long,1,1,0.571887989037
S001,mullerlyer,short,0,0,1.71131821461
S001,mullerlyer,short,1,1,1.03889745811
S001,mullerlyer,short,1,1,0.618701496276
S001,mullerlyer,short,1,1,1.77447002466
S001,mullerlyer,short,1,1,0.73483333283
S001,mullerlyer,short,0,0,0.599899181681
S001,mullerlyer,short,1,1,0.659753870488
S001,mullerlyer,short,0,0,0.576736927577
S001,mullerlyer,short,0,0,0.636671305114
S001,mullerlyer,short,1,1,0.387577915355
S001,mullerlyer,short,1,1,1.48458838054
S001,mullerlyer,short,1,1,0.57062957116
S001,mullerlyer,short,0,0,0.764137656246
S001,mullerlyer,short,0,1,0.507970684206
S001,mullerlyer,short,0,0,0.723089809803
S001,mullerlyer,short,1,1,1.33106834214
S001,mullerlyer,short,0,0,0.619177213853
S001,mullerlyer,short,0,0,0.520783364374
S001,mullerlyer,short,0,0,0.442362408652
S001,mullerlyer,short,0,0,1.10519033231
S001,mullerlyer,short,1,1,1.00687194564
S001,mullerlyer,short,1,1,0.391051921434
S001,mullerlyer,short,0,0,0.553879241387
S001,mullerlyer,short,1,0,1.23202671987
S001,mullerlyer,short,0,0,0.809122246739
S001,mullerlyer,short,1,1,0.974473646876
S001,mullerlyer,short,0,0,0.657096070198
S001,mullerlyer,short,0,0,0.519690662835
S001,mullerlyer,short,1,1,0.801182049509
S001,mullerlyer,short,1,0,0.659659994748
S001,mullerlyer,short,0,0,0.556914355744
S001,mullerlyer,short,0,0,0.727892866953
S001,mullerlyer,short,1,0,1.20602102696
S001,mullerlyer,short,0,1,0.623130257872
S001,mullerlyer,short,1,1,0.493820501133
S001,mullerlyer,short,1,1,1.2925234463
S001,mullerlyer,short,1,1,0.529784870611
S001,mullerlyer,short,0,1,0.551930489693
S001,mullerlyer,short,0,0,0.436437974095
S001,mullerlyer,short,0,0,0.71345381223
S001,mullerlyer,short,1,1,0.920120197169
S001,mullerlyer,short,1,0,0.776625242613
S001,mullerlyer,short,0,0,0.530084608907
S001,mullerlyer,short,0,0,0.470466571483
S001,mullerlyer,short,1,1,1.08104706163
S001,mullerlyer,short,1,1,0.636053113746
S001,mullerlyer,short,1,1,0.472898587034
S001,mullerlyer,short,1,1,0.703032699546
S001,mullerlyer,short,0,0,0.533026149374
S001,mullerlyer,short,0,0,0.554326283094
S001,mullerlyer,long,1,1,1.12500445231
S001,mullerlyer,long,1,0,0.881429809018
S001,mullerlyer,long,1,0,0.495539544023
S001,mullerlyer,long,0,1,0.874232769576
S001,mullerlyer,long,0,0,0.50021431439
S001,mullerlyer,long,1,1,0.857621895082
S001,mullerlyer,long,1,1,0.738794224981
S001,mullerlyer,long,1,1,0.45263048275
S001,mullerlyer,long,0,0,0.945116801342
S001,mullerlyer,long,0,1,2.34264403587
S001,mullerlyer,long,1,0,1.09192457341
S001,mullerlyer,long,1,1,0.522695592066
S001,mullerlyer,long,0,0,1.09938120493
S001,mullerlyer,long,0,1,0.997647371329
S001,mullerlyer,long,0,1,0.816998451504
S001,mullerlyer,long,0,0,0.71524982719
S001,mullerlyer,long,0,0,0.890500137342
S001,mullerlyer,long,0,0,0.6063322356
S001,mullerlyer,long,0,1,0.513623452634
S001,mullerlyer,long,0,1,0.46254478718000003
S001,mullerlyer,long,0,0,1.46509603397
S001,mullerlyer,long,1,1,0.552882226697
S001,mullerlyer,long,0,0,0.476155260212
S001,mullerlyer,long,1,1,0.606124863791
S001,mullerlyer,long,1,1,0.66535683346
S001,mullerlyer,long,1,0,0.597794976591
S001,mullerlyer,long,1,0,0.531234058481
S001,mullerlyer,long,0,0,0.412419367984
S001,mullerlyer,long,0,1,0.458269064171
S001,mullerlyer,long,0,1,0.762677903584
S001,mullerlyer,long,0,0,0.632253712016
S001,mullerlyer,long,1,1,0.92023852286
S001,mullerlyer,long,1,1,0.504846221878
S001,mullerlyer,long,1,1,1.0630189955
S001,mullerlyer,long,1,1,0.695669641913
S001,mullerlyer,long,1,1,0.770116424028
S001,mullerlyer,long,0,0,0.400613361748
S001,mullerlyer,long,1,1,0.482249938876
S001,mullerlyer,long,1,1,0.444310254794
S001,mullerlyer,long,0,0,0.45676675048
S001,mullerlyer,long,1,1,0.577556755581
S001,mullerlyer,long,0,1,0.553113444756
S001,mullerlyer,long,1,1,0.454304851655
S001,mullerlyer,long,0,0,0.342455076987
S001,mullerlyer,long,1,1,0.530620998583
S001,mullerlyer,long,1,1,0.673570206074
S001,mullerlyer,long,0,1,0.717009619999
S001,mullerlyer,long,0,1,0.741768969086
S001,mullerlyer,long,1,1,0.592832843831
S001,mullerlyer,long,1,1,0.651077759901
S001,mullerlyer,long,0,1,1.1815097996
S001,mullerlyer,long,0,1,0.58855893193
S001,mullerlyer,long,1,1,0.582407807082
S001,mullerlyer,long,1,1,0.819528568712
S001,mullerlyer,long,1,1,0.631019442239
S001,mullerlyer,long,1,1,0.831233152927
S001,mullerlyer,long,0,0,0.46185384966
S001,mullerlyer,long,0,0,0.354870520903
S001,mullerlyer,long,0,0,0.505890325365
S001,mullerlyer,long,0,0,0.683353205208
S001,mullerlyer,long,0,0,1.07303230714
S001,mullerlyer,long,0,1,0.930433247104
S001,mullerlyer,long,1,1,0.337584405157
S001,mullerlyer,long,0,0,0.747447998574
S001,mullerlyer,long,1,1,0.985922563081
S001,mullerlyer,long,1,1,1.44926242646
S001,mullerlyer,long,0,1,1.56532634648
S001,mullerlyer,long,0,0,0.469515438182
S001,mullerlyer,long,1,1,0.724184322449
S001,mullerlyer,long,1,1,0.859142923551
S001,mullerlyer,long,0,0,0.678020399107
S001,mullerlyer,long,0,0,0.492076706441
S001,mullerlyer,long,0,0,1.6713742382
S001,mullerlyer,long,1,0,0.547934582795
S001,mullerlyer,long,0,1,0.50606207873
S001,mullerlyer,long,0,0,0.58398950765
S001,mullerlyer,long,1,0,0.457140140481
S001,mullerlyer,long,0,0,0.430371367598
S001,mullerlyer,long,0,1,0.5615984835
S001,mullerlyer,long,1,1,0.552363646244
S001,mullerlyer,long,1,1,0.621400046484
S001,mullerlyer,long,0,0,0.635090208249
S001,mullerlyer,long,0,0,0.55804478869
S001,mullerlyer,long,1,1,0.384142546236
S001,mullerlyer,long,0,0,0.449525640755
S001,mullerlyer,long,0,0,1.65067026071
S001,mullerlyer,long,0,1,0.577144728621
S001,mullerlyer,long,1,1,0.447581718681
S001,mullerlyer,long,1,1,0.94309832201
S001,mullerlyer,long,0,1,1.31986030324
S001,mullerlyer,long,1,0,1.11042382934
S001,mullerlyer,long,1,1,0.53965087884
S001,mullerlyer,long,1,1,0.551435453637
S001,mullerlyer,long,0,0,0.567891478438
S001,mullerlyer,long,0,0,0.487961568298
S001,mullerlyer,long,1,1,0.528465780631
S001,mullerlyer,long,0,1,0.668502727225
S001,mullerlyer,long,0,0,0.645276782509
S001,mullerlyer,long,1,1,0.443922375933
S001,mullerlyer,long,1,1,0.576821144077
S001,mullerlyer,short,1,0,1.24982537905
S001,mullerlyer,short,0,1,1.0402301314
S001,mullerlyer,short,1,1,0.575045956854
S001,mullerlyer,short,1,1,1.29939509009
S001,mullerlyer,short,0,0,0.540266957249
S001,mullerlyer,short,1,1,1.00705818787
S001,mullerlyer,short,1,0,0.402072812558
S001,mullerlyer,short,0,0,0.381814971219
S001,mullerlyer,short,1,1,0.652809178693
S001,mullerlyer,short,1,1,0.79192004564
S001,mullerlyer,short,0,0,0.653228148234
S001,mullerlyer,short,1,0,0.367365351702
S001,mullerlyer,short,0,0,0.962180150866
S001,mullerlyer,short,1,1,0.374004570029
S001,mullerlyer,short,1,1,0.469539284431
S001,mullerlyer,short,1,0,1.13297241985
S001,mullerlyer,short,1,0,0.494901732325
S001,mullerlyer,short,0,1,0.832550129948
S001,mullerlyer,short,0,0,0.442503071337
S001,mullerlyer,short,0,1,0.725360636785
S001,mullerlyer,short,1,1,1.07574987398
S001,mullerlyer,short,1,1,0.624169229888
S001,mullerlyer,short,1,1,0.476707044303
S001,mullerlyer,short,0,0,0.821292285587
S001,mullerlyer,short,0,0,0.506698381172
S001,mullerlyer,short,1,1,0.530031483086
S001,mullerlyer,short,1,1,0.384154922138
S001,mullerlyer,short,1,1,0.585546154567
S001,mullerlyer,short,0,1,0.486244336515
S001,mullerlyer,short,0,0,0.478039113885
S001,mullerlyer,short,0,0,1.63078641307
S001,mullerlyer,short,0,1,1.034824881
S001,mullerlyer,short,1,1,0.564872060346
S001,mullerlyer,short,1,1,0.422786147443
S001,mullerlyer,short,1,0,1.50418063986
S001,mullerlyer,short,0,0,1.0667993806
S001,mullerlyer,short,0,1,0.75452490122
S001,mullerlyer,short,1,1,0.5357047774
S001,mullerlyer,short,1,0,0.78885534986
S001,mullerlyer,short,0,0,0.52984493901
S001,mullerlyer,short,1,1,0.783001850348
S001,mullerlyer,short,0,0,0.488199125235
S001,mullerlyer,short,0,1,0.692216765423
S001,mullerlyer,short,1,1,0.376699498021
S001,mullerlyer,short,1,1,0.516191603101
S001,mullerlyer,short,0,0,0.611492080932
S001,mullerlyer,short,0,0,1.06739976275
S001,mullerlyer,short,0,0,0.522137770948
S001,mullerlyer,short,0,0,0.815603295008
S001,mullerlyer,short,0,1,0.417419534002
S001,mullerlyer,short,0,1,1.00611158233
S001,mullerlyer,short,1,1,0.514273036533
S001,mullerlyer,short,1,1,0.478082580466
S001,mullerlyer,short,0,0,0.450261252261
S001,mullerlyer,short,1,1,0.357809646563
S001,mullerlyer,short,0,1,0.621419666817
S001,mullerlyer,short,1,1,0.394895695299
S001,mullerlyer,short,1,1,0.445783590761
S001,mullerlyer,short,1,0,0.381998496781
S001,mullerlyer,short,1,1,0.765105089515
S001,mullerlyer,short,0,0,0.563862066052
S001,mullerlyer,short,0,0,0.648716075693
S001,mullerlyer,short,1,1,0.880177428167
S001,mullerlyer,short,0,1,0.422318881701
S001,mullerlyer,short,1,1,0.911968704062
S001,mullerlyer,short,0,0,0.828330551272
S001,mullerlyer,short,0,1,0.713254288552
S001,mullerlyer,short,1,0,0.651090739506
S001,mullerlyer,short,0,1,0.6157457688
S001,mullerlyer,short,0,0,0.740324007136
S001,mullerlyer,short,0,0,0.539221344507
S001,mullerlyer,short,1,1,0.600504997148
