participant,bias_source,bias_direction,rep,d,ccrit
18,mullerlyer,short,-26.893333333333334,1.5334455853172837,0.40826399940744806
19,baserate,long,50.74666666666667,1.296895696960736,-0.6036716717848516
19,baserate,short,42.84,0.25783317218871815,-0.26122943837053025
20,baserate,long,-12.68,3.3247368435239806,-0.5692374134989329
20,baserate,short,-7.906666666666666,3.637109170964128,0.11937692537076539
21,payoff,long,13.506666666666666,0.8419043890376476,-0.20197352869126395
21,payoff,short,0.4533333333333333,1.091335058158961,-0.6293192629866095
22,baserate,long,8.28,0.7307018768621316,0.09835681302611318
22,baserate,short,-14.186666666666667,1.8027430907391901,-0.9013715453695951
23,mullerlyer,long,-5.253333333333333,2.1694446752758427,0.09026445442816855
23,mullerlyer,short,-8.386666666666667,2.760035559523219,0.8363449994627894
24,baserate,long,-1.0666666666666667,2.3812388683246954,-0.42923682447592204
24,baserate,short,0.64,3.02335674125884,-0.09949079172325648
25,mullerlyer,long,9.506666666666666,0.2847399047957093,-1.0326168396682354
25,mullerlyer,short,-0.13333333333333333,0.6696657035522386,-0.8401539402899706
26,baserate,long,11.76,2.7039813547305314,-0.06019690154089785
26,baserate,short,12.6,2.16609210505533,-0.5281231098250114
27,mullerlyer,long,10.626666666666667,1.3259560075628674,-0.5120087882846562
27,mullerlyer,short,-14.146666666666667,1.105591162587613,-1.663567197930592
28,baserate,long,-32.85333333333333,1.4483055840376091,0.00765529184081315
28,baserate,short,-21.813333333333333,1.8668468805539993,-0.21692594009900823
29,baserate,long,-12.186666666666667,4.038097003697296,0.0811169909958197
29,baserate,short,-5.48,4.38663692615308,-0.4244934245578339
30,baserate,long,21.88,1.9472073027244996,0.6375655109904267
30,baserate,short,24.68,1.771299429155318,-0.4061440612467089
31,payoff,long,13.053333333333333,1.2903206626704768,0.9681980633170643
31,payoff,short,8.093333333333334,1.4217831933083809,-0.6941799636554418
32,baserate,long,8.586666666666666,3.01353718344886,1.1110432959099428
32,baserate,short,2.2266666666666666,2.2822487440701402,-0.66161871870412
33,baserate,long,12.28,1.666433396628717,0.7009038460381873
33,baserate,short,2.1333333333333333,1.5451573499768358,-0.8385904873642586
34,mullerlyer,long,1.3066666666666666,1.282475395773393,0.3532201853230563
34,mullerlyer,short,-2.4133333333333336,1.0934825712746363,-0.6977105011340954
35,payoff,long,-14.8,1.9687847451585327,0.5166935734647583
35,payoff,short,-16.08,2.3673319947211757,-1.0326967818638106
36,baserate,long,-4.946666666666666,0.9693362723027299,-0.07025480655128855
36,baserate,short,-4.4,1.4710321280082803,-0.2560104106731902
37,mullerlyer,long,3.533333333333333,3.354457619449188,0.8022380755770725
37,mullerlyer,short,-3.5733333333333333,3.7685522209675244,-0.5951907748179022
38,payoff,long,-3.8533333333333335,2.6385146546383464,0.6129547644790856
38,payoff,short,-18.786666666666665,1.5561583623970787,-0.2727580926846881
39,baserate,long,-14.146666666666667,1.8202578840356125,0.010694034350572423
39,baserate,short,-21.506666666666668,1.0180365280998367,-0.6413311163260895
40,payoff,long,-3.6533333333333333,0.045039154191530595,-0.7723890308364203
40,payoff,short,30.986666666666668,0.4202522754299949,-2.269340747586667
41,baserate,long,-38.29333333333334,1.7839893811557088,0.25835468979815346
41,baserate,short,-51.25333333333333,1.3705452022931632,0.1193237792137185
43,payoff,long,-17.453333333333333,1.6737629970933157,0.21395577533657006
43,payoff,short,-27.066666666666666,1.6635119781170364,-0.7816024055937845
44,baserate,long,-3.08,1.510500480643085,0.200327297618889
44,baserate,short,-5.253333333333333,2.51060407001991,-0.35586712734272136
45,payoff,long,-20.186666666666667,0.5392739893029587,0.35328872855860843
45,payoff,short,-14.826666666666666,1.3987891292004258,-0.4113770520365727
46,payoff,long,-10.253333333333334,1.4463956188668274,0.21787672091956245
46,payoff,short,-3.2533333333333334,2.2952890606546417,-0.09680725644409283
47,baserate,long,-34.49333333333333,1.7947865754059085,-0.10575467995957966
47,baserate,short,-34.57333333333333,1.3271699763519613,-0.5312721358998093
48,baserate,long,-27.69333333333333,1.4919243787772034,-0.25718577827393224
48,baserate,short,-24.133333333333333,2.236254206991701,-1.2504399557720216
49,payoff,long,-5.28,0.9577861633517247,0.4621814486771138
49,payoff,short,9.76,0.863779881765045,-0.07343114763132877
51,mullerlyer,long,-9.426666666666666,2.5036052819226833,-0.36155575369096105
51,mullerlyer,short,-19.666666666666668,2.9405529738269993,-1.0091903983881647
52,mullerlyer,long,-16.88,1.2478049863455527,0.3705553900369765
52,mullerlyer,short,-43.32,1.3579456863848889,-0.21127404407793612
53,baserate,long,-14.306666666666667,1.6624447627855423,0.1975823806130702
53,baserate,short,-15.933333333333334,1.8642740436817407,-0.998148834216711
54,baserate,long,-33.29333333333334,1.1232357443246752,-0.2429785081979625
54,baserate,short,-28.266666666666666,1.2671264189475933,-0.9005573348787492
55,payoff,long,-6.906666666666666,1.3281035206785425,0.5804000264321423
55,payoff,short,-14.226666666666667,1.2956386442562282,-0.4629522945086715
56,payoff,long,-17.573333333333334,1.3838419035060512,0.8091649942909991
56,payoff,short,-6.426666666666667,2.4312760205040664,-0.10486639361524752
57,payoff,long,49.17333333333333,0.7401697657480614,0.2528408403360571
57,payoff,short,46.986666666666665,0.8830156089219151,0.22252913863339768
58,payoff,long,-2.32,1.4977988899072132,0.4955523418178069
58,payoff,short,-3.08,1.9718171879034965,-0.6274498007005544
61,baserate,long,-0.8,2.3516643424978874,-0.44402408738932597
61,baserate,short,-4.76,2.1980050917383234,-0.09585457820662824
62,payoff,long,-20,1.8595447392952185,0.5713135763964154
62,payoff,short,-27.68,1.7982254222717453,-0.71424568351643
63,baserate,long,-53.93333333333333,1.9282396696730753,0.0646849271693038
63,baserate,short,-46.14666666666667,2.096390156184668,-0.24359869773203385
64,payoff,long,-17.973333333333333,1.6401163410110358,0.07018871676486277
64,payoff,short,-23.733333333333334,2.0387035838158094,-0.7313342793442646
65,payoff,long,11.706666666666667,0.7717371610793883,1.2274898141126085
65,payoff,short,27.213333333333335,1.4973389681163698,-1.0020165871939846
66,payoff,long,-0.5466666666666666,1.46300430462973,-0.4434846397512249
66,payoff,short,-1.7466666666666666,1.9813775153513455,-1.4887781276259915
67,payoff,long,-6.626666666666667,1.7571398367233155,0.1722673555215702
67,payoff,short,-9.92,1.6435421358491065,-0.4987333359427274
68,baserate,long,-10.933333333333334,1.9520589911072248,-0.4361580833525511
68,baserate,short,-4.546666666666667,1.9384956226026444,0.650608447336947
69,mullerlyer,long,42.74666666666667,0.5727721397453541,-0.3365396533374107
69,mullerlyer,short,-16.133333333333333,1.5847376799511537,-0.7087171060684478
70,payoff,long,15.88,2.220229604361899,0.8220972896173093
70,payoff,short,15.72,2.1154130117994665,-0.2627978979675475
